time(UTC),poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temp
2015-05-30 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.94
2015-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.73
2015-05-31 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.61
2015-05-31 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.54
2015-05-31 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,15.49
2015-05-31 04:00:00+00:00,22.794228634059948,0.0,22.794228634059948,22.392304845413264,0.4019237886466839,16.302808116349
2015-05-31 05:00:00+00:00,109.84731966838169,0.5914804811238777,109.2558391872578,107.29646071760523,1.959378469652584,19.41817846746645
2015-05-31 06:00:00+00:00,199.1907017323349,2.5067456409331137,196.6839560914018,193.13362929168943,3.550326799712374,23.205666962236958
2015-05-31 07:00:00+00:00,293.71222994870243,7.616903777683611,286.0953261710188,280.83682326955807,5.258502901460781,26.536913061455778
2015-05-31 08:00:00+00:00,158.6098409120005,0.0,158.6098409120005,155.81312121600064,2.796719695999842,23.75346354213991
2015-05-31 09:00:00+00:00,561.3361060234422,139.82460030118963,421.5115057222526,410.52558883257655,10.985916889676027,37.07871126683119
2015-05-31 10:00:00+00:00,289.3942773552543,0.6506344993013194,288.743642855953,283.6358613752347,5.107781480718274,29.001609656398838
2015-05-31 11:00:00+00:00,251.39395664406285,0.6406948448764677,250.7532617991864,246.31535329954593,4.437908499640468,27.45640057934773
2015-05-31 12:00:00+00:00,380.62509407812576,54.316868659873364,326.3082254182524,319.090344047139,7.217881371113364,31.271619073055465
2015-05-31 13:00:00+00:00,49.38749537379656,0.0,49.38749537379656,48.51666049839541,0.8708348754011483,21.837163167287937
2015-05-31 14:00:00+00:00,152.39556021024507,19.424417039945286,132.97114317029977,129.6887655630185,3.282377607281252,23.90390918874285
